,std_dt,symbol,issues_suspended_from_trading_reason
800,20040209,A002530,사유미상
801,20040210,A002530,
802,20120202,A002530,기타공익과투자자보호
803,20120423,A002530,"주식의 병합, 분할 등 전자등록 변경, 말소"
804,20120522,A002530,
805,20120627,A002530,회생절차개시신청(발행 ELW 포함)
806,20120704,A002530,
807,20121108,A002530,"주식의 병합, 분할 등 전자등록 변경, 말소"
808,20130110,A002530,
809,20130529,A002530,단기과열 지정
810,20130530,A002530,
811,20131120,A002530,단기과열 지정
812,20131121,A002530,
813,20140206,A002530,기타공익과투자자보호및시장관리상
814,20140416,A002530,
815,19991228,A002540,
816,20010914,A002540,사유미상
817,20010917,A002540,
818,20011023,A002540,사유미상
819,20011024,A002540,
820,20011220,A002540,사유미상
821,20020114,A002540,
822,20020402,A002540,사유미상
823,20020430,A002540,
824,20060227,A002540,사유미상
825,20060317,A002540,
826,20061121,A002540,사유미상
827,20061122,A002540,
828,20090324,A002540,"주식의 병합, 분할 등 전자등록 변경, 말소"
829,20090403,A002540,
830,20090504,A002540,"주식의 병합, 분할 등 전자등록 변경, 말소"
831,20090605,A002540,
832,20100312,A002540,불성실공시법인지정
833,20100315,A002540,감사의견거절(발행 ELW 포함)
834,20100414,A002540,
835,19991228,A002550,
836,20170705,A002550,"주식의 병합, 분할 등 전자등록 변경, 말소"
837,20170721,A002550,
838,19991228,A002600,
839,19991228,A002610,
840,20020328,A002610,사유미상
841,20020422,A002610,
842,20030227,A002610,사유미상
843,20030312,A002610,
844,19991228,A002620,
845,20060417,A002620,사유미상
846,20060426,A002620,
847,20170530,A002620,"주식의 병합, 분할 등 전자등록 변경, 말소"
848,20170717,A002620,
849,19991228,A002630,
850,20030623,A002630,사유미상
851,20030718,A002630,
852,20150603,A002630,단기과열 지정
853,20150604,A002630,
854,20200205,A002630,"주식의 병합, 분할 등 전자등록 변경, 말소"
855,20200221,A002630,
856,19991228,A002670,
857,20030708,A002670,사유미상
858,20030801,A002670,
859,20040629,A002670,사유미상
860,20040728,A002670,
861,20120227,A002670,"주식의 병합, 분할 등 전자등록 변경, 말소"
862,20120323,A002670,상장폐지 사유발생
863,20120402,A002670,"사업보고서 미제출, 상장폐지 사유발생, 회생절차개시신청(발행 ELW 포함)"
864,20120405,A002670,
865,19991228,A002680,
866,20130917,A002680,투자자 보호
867,20131015,A002680,상장적격성 실질심사 대상
868,20131031,A002680,
869,19991228,A002690,
870,19991228,A002700,
871,20040528,A002700,사유미상
872,20040531,A002700,
873,20040909,A002700,사유미상
874,20040910,A002700,
875,20050218,A002700,사유미상
876,20050401,A002700,
877,20130607,A002700,단기과열 지정
878,20130610,A002700,
879,20151106,A002700,기타공익과투자자보호및시장관리상
880,20151125,A002700,
881,19991228,A002710,
