,std_dt,ticker,company_name
2092,19991228,A033240,자화전자
2093,19991228,A033250,삼립정공
2094,20021205,A033250,체시스
2095,20010201,A033260,쌈지
2096,19991228,A033270,유나이티드
2097,20080407,A033270,유나이티드제약
2098,19991228,A033280,디에스피
2099,20010327,A033280,인텔리테크
2100,20010810,A033280,넷시큐어테크
2101,20101011,A033280,어울림엘시스
2102,19991228,A033290,필코전자
2103,20150416,A033290,코웰패션
2104,19991228,A033300,보성인터
2105,19991228,A033310,와이즈콘트롤
2106,20071114,A033310,디케이디앤아이
2107,20200901,A033310,엠투엔
2108,19991228,A033320,제이씨현
2109,20140115,A033320,제이씨현시스템
2110,19991228,A033330,두림티앤씨
2111,19991228,A033340,좋은사람들
2112,19991228,A033430,유일반도체
2113,20030421,A033430,넥사이언
2114,20090609,A033430,한국자원투자개발
2115,20160715,A033430,코리드
2116,20170808,A033430,디에스티
2117,19991228,A033500,화인텍
2118,20130415,A033500,동성화인텍
2119,19991228,A033530,세종공업
2120,19991228,A033540,파라텍
2121,19991228,A033550,일레덱스
2122,20071218,A033550,룩손에너지
2123,20110126,A033560,블루콤
2124,20001121,A033600,이젠텍
2125,20180621,A033600,에이코넬
2126,20190412,A033600,럭슬
2127,19991228,A033630,하나로통신
2128,20050114,A033630,하나로텔레콤
2129,20081010,A033630,SK브로드밴드
2130,19991228,A033640,크린크레티브
2131,20031215,A033640,네패스
2132,20090625,A033660,대우캐피탈
2133,20090921,A033660,아주캐피탈
2134,20000627,A033720,인투스
2135,20070620,A033720,디아만트
2136,20081027,A033720,블루스톤
2137,19991228,A033780,담배인삼공사
2138,20030121,A033780,KT&G
2139,20010626,A033790,서화정보통신
2140,20171130,A033790,스카이문스테크놀로지
2141,20101129,A033830,대구방송
2142,20150527,A033830,티비씨
2143,19991228,A033850,옌트
2144,20040428,A033850,로패스
2145,20050425,A033850,아이메카
2146,20090708,A033850,지앤이
2147,20101019,A033850,지노시스템
2148,19991228,A033880,골드뱅크
2149,20020418,A033880,코리아텐더
2150,20061123,A033880,그랜드포트
2151,20090515,A033880,룩소네이트
2152,20090630,A033880,블루멈
2153,19991228,A033920,무학
2154,20000427,A034010,유니와이드
2155,20090203,A034010,확인영어사
2156,20110309,A034010,라이프앤비
2157,20120502,A034010,트라이써클
2158,20001025,A034020,한국중공업
2159,20010416,A034020,두산중공업
2160,19991228,A034120,SBS
2161,19991228,A034121,서울방송1
2162,19991228,A034190,코스파이더
2163,20040723,A034220,LG필립스LCD
2164,20080320,A034220,LG디스플레이
2165,20021105,A034230,파라다이스
2166,19991228,A034260,삼성다이나믹
2167,19991228,A034270,삼성 프라임
2168,19991228,A034280,박현주 4호
2169,19991228,A034290,박현주 5호
2170,19991228,A034300,신세계건설
2171,20040204,A034310,한신정
2172,20101126,A034310,NICE
2173,19991228,A034320,에머랄드 1호
2174,19991228,A034330,사파이어전환
2175,19991228,A034340,사파이어성장
2176,19991228,A034350,트윈스챌린지
2177,19991228,A034430,한빛세이프일
2178,19991228,A034440,한빛세이프이
2179,19991228,A034450,이글 1호
2180,19991228,A034460,이글 2호
2181,19991228,A034470,동원장보고1
2182,20000414,A034510,무한투자
2183,19991228,A034560,이글3호
2184,19991228,A034570,이글4호
2185,19991228,A034580,플래티넘1호
2186,20061107,A034590,인천도시가스
2187,19991228,A034600,로커스
2188,20060601,A034600,벅스인터
2189,20071023,A034600,글로웍스
2190,19991228,A034650,성공파트너1
2191,19991228,A034660,세인전자
2192,20051010,A034660,제넥셀
2193,20091111,A034730,SK C&C
2194,20150817,A034730,SK
2195,19991228,A034750,디씨씨
2196,19991228,A034760,호크아이즈
2197,19991228,A034770,SEI에셋
2198,19991228,A034810,해성산업
2199,19991228,A034820,드림
2200,20010522,A034830,한국토지신탁
2201,19991228,A034840,트윈스비전일
2202,19991228,A034850,플래티넘2호
2203,19991228,A034920,하이프로
2204,19991228,A034940,조아제약
2205,20020207,A034950,한기평
2206,20020218,A034950,한국기업평가
2207,19991228,A034960,드림2호
2208,19991228,A034970,보양산업
2209,20011008,A034970,다이넥스
2210,20021114,A034970,올에버
2211,20000713,A034980,중앙소프트
2212,20011113,A034980,이론테크
2213,19991228,A034990,플러스1호
2214,19991228,A035000,LG애드
2215,20040903,A035000,G2R
2216,20050328,A035000,지투알
2217,20050419,A035000,GⅡR
2218,20150903,A035000,지투알
2219,19991228,A035010,소예
2220,19991228,A035030,파이오니어
2221,20010601,A035030,파이오니어MF
2222,19991228,A035040,플래티넘3호
2223,19991228,A035050,플래티넘타겟
2224,19991228,A035080,인터파크
2225,20150415,A035080,인터파크홀딩스
2226,20200716,A035080,인터파크
2227,19991228,A035150,백산
2228,19991228,A035160,플러스2호
2229,20020115,A035200,프럼파스트
2230,19991228,A035210,미래티비
2231,20020401,A035210,큐릭스
2232,20110726,A035210,티브로드도봉강북방송
2233,20011025,A035250,강원랜드
2234,19991228,A035270,청람디지탈
2235,19991228,A035290,코네스
2236,20020422,A035290,에듀박스
2237,20151127,A035290,에이원앤
2238,20171215,A035290,더블유에프엠
2239,19991228,A035300,실크로드
2240,19991228,A035310,실크로드2호
2241,19991228,A035320,알바트로스2
2242,19991228,A035330,드림3호
2243,19991228,A035340,엠피챌린지
