,std_dt,symbol,issued_sh
689,20001027,A000420,4282597
690,20001103,A000420,4323786
691,20001110,A000420,4325062
692,20001222,A000420,4340623
693,20010103,A000420,4351851
694,20010202,A000420,4353569
695,20010212,A000420,4354401
696,20010223,A000420,4357244
697,20010402,A000420,4912028
698,20010525,A000420,4919170
699,20051019,A000420,5919170
700,20070326,A000420,739896
701,20070726,A000420,1925896
702,20091008,A000420,3693623
703,20130110,A000420,4371581
704,20130129,A000420,4541072
705,20130325,A000420,46766640
706,20130418,A000420,48122572
707,20130426,A000420,48631046
708,20130430,A000420,49973326
709,20130521,A000420,50142817
710,20131108,A000420,57424362
711,20131115,A000420,59119277
712,20150224,A000420,0
713,19991228,A000430,6000000
714,20080507,A000430,60000000
715,20100407,A000430,62000000
716,19991228,A000440,146000
717,20000428,A000440,438000
718,20070214,A000440,622713
719,20110906,A000440,1245426
720,20181206,A000440,6227130
721,19991228,A000470,2166381
722,20010213,A000470,2166503
723,20020208,A000470,10000
724,20020222,A000470,3150000
725,20020509,A000470,5000000
726,20020725,A000470,5500000
727,20020806,A000470,6400000
728,20030410,A000470,6760000
729,20030708,A000470,8800000
730,20040413,A000470,9500000
731,20040713,A000470,10000000
732,20060309,A000470,10300000
733,20060522,A000470,10500000
734,20061124,A000470,10700000
735,20070209,A000470,11500000
736,20070308,A000470,11800000
737,20070903,A000470,11959616
738,20071221,A000470,12119232
739,20080328,A000470,14328072
740,20080428,A000470,14428072
741,20080930,A000470,16728686
742,20081001,A000470,16928686
743,20081007,A000470,16948686
744,20081124,A000470,17048686
745,20090113,A000470,18608686
746,20090408,A000470,20608686
747,20090512,A000470,22388686
748,20091201,A000470,24588686
749,20110523,A000470,26588686
750,20120716,A000470,0
751,19991228,A000480,4000000
752,19991228,A000490,4745642
753,20100517,A000490,23728210
754,19991228,A000500,3900000
755,20100416,A000500,4083343
756,20110415,A000500,4160347
757,19991228,A000520,975000
758,20000410,A000520,1044000
759,20010416,A000520,1100000
760,20060424,A000520,5500000
761,20180731,A000520,6500000
762,20200904,A000520,6531605
763,20200925,A000520,6642221
764,20201020,A000520,6694896
765,19991228,A000540,10257600
766,20020321,A000540,12257600
767,20031028,A000540,5107333
768,20040119,A000540,8747333
769,20040120,A000540,9347333
770,20040322,A000540,10107333
771,20050729,A000540,10107733
772,20050929,A000540,10107933
773,20051020,A000540,10109933
774,20051104,A000540,10113033
775,20051220,A000540,10637113
776,20051228,A000540,10720933
777,20060113,A000540,10732633
778,20060120,A000540,10943853
779,20060126,A000540,11102933
780,20060206,A000540,11122553
781,20060207,A000540,20122553
782,20060216,A000540,20173633
783,20060310,A000540,20232453
784,20060323,A000540,20403373
785,20060420,A000540,20483413
786,20060517,A000540,20483573
787,20060906,A000540,20484173
788,20061121,A000540,20485173
789,20070124,A000540,30485173
790,20070621,A000540,30488473
791,20070705,A000540,30731193
792,20070730,A000540,32896193
793,20070820,A000540,32916293
794,20070914,A000540,32917213
795,20071012,A000540,32917313
796,20071115,A000540,32928913
797,20071212,A000540,32930673
798,20080111,A000540,32931253
799,20080212,A000540,32941333
800,20080312,A000540,32956253
801,20080411,A000540,32957653
802,20080513,A000540,32973833
803,20080627,A000540,49225448
804,20080814,A000540,49225488
805,20081014,A000540,49226168
806,20081113,A000540,49231448
807,20090514,A000540,49232348
808,20090714,A000540,49253688
809,20090806,A000540,51222192
810,20091214,A000540,51242132
811,20100115,A000540,51248552
812,20100212,A000540,51395972
813,20100312,A000540,51404872
814,20100326,A000540,51450192
815,20110620,A000540,64242645
816,19991228,A000590,600000
817,20100127,A000590,474234
818,20101118,A000590,917288
819,20110411,A000590,1154482
820,19991228,A000610,4421432
821,20010420,A000610,26774374
822,20100120,A000610,0
823,19991228,A000640,8560000
824,20000418,A000640,8715000
825,20010417,A000640,8875000
826,20020415,A000640,9110000
827,20030407,A000640,9353000
828,20040407,A000640,9514000
829,20050418,A000640,9687000
830,20060410,A000640,9869000
831,20070416,A000640,10051000
832,20080407,A000640,10253000
833,20090413,A000640,10456000
834,20100412,A000640,10665000
835,20100607,A000640,11135000
836,20130408,A000640,4133412
837,20130418,A000640,4339639
838,20141112,A000640,4481591
839,20150413,A000640,4525391
840,20150715,A000640,4591091
841,20150818,A000640,4656791
842,20150925,A000640,4666791
843,20160201,A000640,4688691
844,20160217,A000640,4776291
845,20160526,A000640,4841991
846,20161020,A000640,5853087
847,20161028,A000640,6050313
848,20170224,A000640,6137913
849,20170523,A000640,6138085
850,20170621,A000640,6138119
851,20170721,A000640,6138133
852,20170822,A000640,6138228
853,20180221,A000640,6138294
854,20190521,A000640,6138297
855,20201020,A000640,6138305
856,20201130,A000640,6138342
857,20201211,A000640,6155138
858,19991228,A000650,1000000
859,20000328,A000650,1060000
860,20010327,A000650,1123000
861,20020403,A000650,1200000
862,20030331,A000650,1272000
863,20070328,A000650,1348320
864,20080328,A000650,1429220
865,19991228,A000660,348934856
866,20000107,A000660,493934856
867,20000203,A000660,493956228
868,20000621,A000660,490428183
869,20000825,A000660,490428193
870,20000908,A000660,490431196
871,20010627,A000660,1011256196
872,20020607,A000660,5239972289
873,20030414,A000660,249522490
874,20030421,A000660,443426976
875,20030827,A000660,443721309
876,20040323,A000660,444198866
877,20040705,A000660,444865637
878,20050401,A000660,445154715
879,20050420,A000660,445207274
880,20050706,A000660,447772670
881,20060210,A000660,447812646
882,20060216,A000660,448210671
883,20060703,A000660,459021989
884,20070129,A000660,459080253
885,20070206,A000660,459128628
886,20070507,A000660,459228628
887,20080205,A000660,459273828
888,20080729,A000660,459602790
889,20090130,A000660,519602790
890,20090227,A000660,519621050
891,20090518,A000660,519621062
892,20090529,A000660,589621062
893,20090702,A000660,589625662
894,20090825,A000660,589625820
895,20091005,A000660,589638133
896,20091224,A000660,589638561
897,20100114,A000660,589640444
898,20100121,A000660,589641609
899,20100129,A000660,589663653
900,20100204,A000660,589664081
901,20100331,A000660,589667169
902,20100415,A000660,590227552
903,20100421,A000660,590228861
904,20100427,A000660,590229079
905,20100511,A000660,590230190
906,20100518,A000660,590230361
907,20100527,A000660,590230789
908,20100629,A000660,590231217
909,20100706,A000660,590231861
910,20100709,A000660,590232289
911,20100722,A000660,590275583
912,20100816,A000660,590276011
913,20100929,A000660,590276439
914,20101123,A000660,590276550
915,20101217,A000660,590276554
916,20110201,A000660,590276646
917,20110225,A000660,590278539
918,20110303,A000660,590281560
919,20110330,A000660,590282270
920,20110408,A000660,590710939
921,20110415,A000660,590786828
922,20110421,A000660,590787825
923,20110426,A000660,590788904
924,20110506,A000660,591239621
925,20110513,A000660,592112391
926,20110519,A000660,592115680
927,20110524,A000660,592122752
928,20110530,A000660,592152970
929,20110627,A000660,592171582
930,20120209,A000660,592172353
931,20120215,A000660,592172374
932,20120223,A000660,694022374
933,20120302,A000660,694024408
934,20120319,A000660,694024412
935,20120406,A000660,694024840
936,20120423,A000660,694025502
937,20120430,A000660,694028502
938,20120515,A000660,694122002
939,20120601,A000660,694122430
940,20120905,A000660,694122451
941,20121113,A000660,694152751
942,20121224,A000660,694152768
943,20130109,A000660,694155767
944,20130228,A000660,694155801
945,20130319,A000660,694156658
946,20130326,A000660,694160034
947,20130405,A000660,694160662
948,20130419,A000660,694165294
949,20130426,A000660,694167032
950,20130516,A000660,694176105
951,20130611,A000660,694208693
952,20130614,A000660,694216785
953,20130621,A000660,694442812
954,20130627,A000660,694472461
955,20130702,A000660,694710554
956,20130711,A000660,694716983
957,20130717,A000660,694719386
958,20130725,A000660,694728326
959,20130731,A000660,695193593
960,20130806,A000660,695403540
961,20130812,A000660,695421175
962,20130816,A000660,710200891
963,20140523,A000660,711559428
964,20140618,A000660,711566021
965,20140627,A000660,712258284
966,20140703,A000660,714483423
967,20140711,A000660,715956957
968,20140714,A000660,716121782
969,20140721,A000660,716405280
970,20140728,A000660,718887545
971,20140731,A000660,722134601
972,20140807,A000660,722306019
973,20140813,A000660,722391728
974,20140825,A000660,722638965
975,20140903,A000660,723004876
976,20140919,A000660,723667472
977,20140929,A000660,723865262
978,20141002,A000660,724623455
979,20141014,A000660,725549771
980,20141021,A000660,728002365
981,19991228,A000670,1842040
982,19991228,A000680,23071532
983,20000601,A000680,1873356
984,20000922,A000680,19425199
985,20021223,A000680,31417717
986,20070123,A000680,121437717
987,20070222,A000680,96236849
988,20070529,A000680,80838953
989,20080326,A000680,78838953
990,20100511,A000680,71527542
991,20110302,A000680,73620044
992,20110316,A000680,75097744
993,20110331,A000680,75348833
994,20110418,A000680,75473006
995,20110422,A000680,75579185
996,20110503,A000680,75871842
