,std_dt,symbol,currency
863,19991228,A019170,KRW
864,19991228,A019180,KRW
865,19991228,A019210,KRW
866,19991228,A019260,KRW
867,19991228,A019300,KRW
868,19991228,A019430,KRW
869,20110601,A019440,KRW
870,19991228,A019490,KRW
871,19991228,A019540,KRW
872,19991228,A019550,KRW
873,19991228,A019560,KRW
874,19991228,A019570,KRW
875,19991228,A019590,KRW
876,19991228,A019640,KRW
877,19991228,A019660,KRW
878,20040203,A019680,KRW
879,20110624,A019770,KRW
880,19991228,A019930,KRW
881,20060201,A019990,KRW
882,19991228,A020000,KRW
883,19991228,A020070,KRW
884,19991228,A020120,KRW
885,20110304,A020150,KRW
886,19991228,A020180,KRW
887,19991228,A020400,KRW
888,19991228,A020490,KRW
889,19991228,A020560,KRW
890,19991228,A020710,KRW
891,20020109,A020760,KRW
892,19991228,A020860,KRW
893,19991228,A021040,KRW
894,19991228,A021050,KRW
895,20000615,A021060,KRW
896,19991228,A021080,KRW
897,19991228,A021090,KRW
898,19991228,A021240,KRW
899,20010821,A021320,KRW
900,19991228,A021570,KRW
901,20030124,A021650,KRW
902,19991228,A021740,KRW
903,19991228,A021820,KRW
904,19991228,A021880,KRW
905,19991228,A021930,KRW
906,19991228,A021960,KRW
907,19991228,A022060,KRW
908,19991228,A022061,KRW
909,20001128,A022100,KRW
910,19991228,A022220,KRW
911,20060411,A022220,KRW
912,19991228,A022510,KRW
913,20010913,A022520,KRW
914,19991228,A022610,KRW
915,19991228,A022770,KRW
916,19991228,A022780,KRW
917,19991228,A022870,KRW
918,20110722,A023000,KRW
919,20000720,A023020,KRW
920,19991228,A023130,KRW
921,19991228,A023150,KRW
922,19991228,A023160,KRW
923,20110428,A023350,KRW
924,19991228,A023410,KRW
925,19991228,A023420,KRW
926,19991228,A023430,KRW
927,19991228,A023440,KRW
928,19991228,A023450,KRW
929,19991228,A023460,KRW
930,20060209,A023530,KRW
931,19991228,A023590,KRW
932,19991228,A023600,KRW
933,20010111,A023670,KRW
934,19991228,A023760,KRW
935,19991228,A023770,KRW
936,20000216,A023771,KRW
937,19991228,A023780,KRW
938,19991228,A023790,KRW
939,19991228,A023800,KRW
940,19991228,A023810,KRW
941,19991228,A023890,KRW
942,19991228,A023900,KRW
943,19991228,A023910,KRW
944,19991228,A023960,KRW
945,19991228,A024060,KRW
946,19991228,A024070,KRW
947,19991228,A024080,KRW
948,20000817,A024081,KRW
949,19991228,A024090,KRW
950,19991228,A024100,KRW
951,19991228,A024110,KRW
952,19991228,A024120,KRW
953,19991228,A024660,KRW
954,19991228,A024720,KRW
955,19991228,A024740,KRW
956,19991228,A024800,KRW
957,19991228,A024810,KRW
958,20000330,A024811,KRW
959,19991228,A024830,KRW
960,19991228,A024840,KRW
961,20010118,A024850,KRW
962,19991228,A024870,KRW
963,19991228,A024880,KRW
964,19991228,A024890,KRW
965,19991228,A024900,KRW
966,19991228,A024910,KRW
967,19991228,A024920,KRW
968,19991228,A024940,KRW
969,19991228,A024950,KRW
970,19991228,A024951,KRW
971,19991228,A024960,KRW
972,19991228,A025000,KRW
973,19991228,A025080,KRW
974,19991228,A025150,KRW
975,19991228,A025270,KRW
976,19991228,A025320,KRW
977,20000504,A025340,KRW
978,19991228,A025440,KRW
979,19991228,A025450,KRW
980,20000529,A025451,KRW
981,20030129,A025460,KRW
982,19991228,A025530,KRW
983,19991228,A025540,KRW
984,19991228,A025550,KRW
985,19991228,A025560,KRW
986,19991228,A025610,KRW
987,19991228,A025620,KRW
988,19991228,A025690,KRW
989,20031104,A025750,KRW
990,19991228,A025770,KRW
991,19991228,A025820,KRW
992,19991228,A025830,KRW
993,19991228,A025840,KRW
994,19991228,A025850,KRW
